House Size,House Price
857,179254.36
3595,639463.02
3118,566785.94
2255,453380.71
2232,407853.4
3934,741557.89
843,143399.56
3289,601884.06
1305,226149.45
876,164204.17
2605,504907.7
4402,764176.99
3443,645600.59
3544,658863.39
3369,606566.25
3644,634768.55
2552,476163.24
1012,183922.68
3858,715256.91
2301,429726.3
2501,505224.47
1983,365956.11
1230,210812.56
4207,776741.89
3626,673179.92
3075,602479.69
2109,415497.78
3791,706301.78
2681,534162.57
2273,394420.92
2301,413186.21
1408,245275.6
868,161494.75
2718,469822.85
4051,760058.77
755,145344.43
3933,686169.84
3810,675410.52
1607,312097.85
3026,580633.16
1160,273718.27
3532,723606.56
3302,619720.24
1918,335501.55
771,100478.84
4382,810452.79
2282,405436.47
4072,737576.07
3211,577677.58
3613,661820.23
3539,678669.51
1278,248966.21
1955,362934.13
2366,414988.66
2491,421512.93
675,124342.3
2686,497135.44
1117,260258.25
3473,643396.86
3232,621328.49
4190,756717.61
3479,611596.41
1966,344752.08
4370,783469.35
2143,453951.74
1803,319005.33
4122,777922.23
1981,349006.82
805,183189.33
2378,452663.77
3682,673844.05
1257,240240.94
2351,421810.31
1019,209571.81
3245,587725.41
2402,416719.86
1820,310651.56
1407,272574.7
2757,550737.28
3179,591219.79
4261,779014.04
2248,426785.65
1142,253210.04
3830,709884.56
3019,548146.82
3301,636837.22
888,185558.91
1749,368213.9
3571,662360.86
3829,673608.27
2240,383996.02
3719,725693.2
3866,753971.64
2049,379332.02
4092,741980.32
1653,349076.11
1458,249763.86
3229,573851.82
3047,579543.17
1059,195754.87
3830,704271.95
1299,244733.93
3719,692859.36
529,145407.05
3687,680924.62
3647,687558.47
3621,615525.7
3159,582402.04
2386,423399.24
3320,582129.67
1608,282486.19
3622,658606.91
2722,527857.56
2335,402140.18
2522,469725.79
2774,502215.76
649,123628.17
1059,230688.95
1481,295032.89
958,220874.95
2258,417577.36
3173,568741.43
3117,570463.53
2384,450182.42
3920,725014.33
2760,484690.3
816,164142.24
3559,661325.71
2798,581576.85
3038,608761.12
2761,490648.92
2714,496335.42
862,133573.95
2736,492712.32
3679,685110.13
1715,353846.34
2911,520752.9
623,110786.34
1889,301337.77
2246,415213.35
4430,785839.64
1358,246204.01
1606,282158.48
2134,396763.44
4470,775656.79
3913,682663.87
638,183071.18
1435,241114.44
3786,669060.36
733,192862.84
3922,793586.68
1625,278210.83
4170,756393.78
1674,324858.89
2237,460877.44
3147,556788.57
1005,189768.05
2728,525473.44
2520,479469.15
3635,659896.1
4484,818774.43
3157,548887.6
2136,393525.66
2125,390840.31
2171,411584.25
3756,677196.82
1784,347908.46
1167,250377.9
1837,349545.73
590,129993.91
924,182648.88
860,169802.11
3586,642441.05
3389,632932.36
3287,604227.84
2347,489789.21
3368,660573.87
1145,230746.16
4102,734283.57
2504,437909.71
4252,810138.57
1109,221188.73
2489,475023.59
3285,562685.35
2482,484945.96
2284,437480.51
1164,196759.23
2024,367531.88
1455,283492.93
1706,323391.67
3234,589815.72
3021,556192.79
2928,535740.57
1947,369274.06
4338,832627.3
850,103833.54
1870,345678.74
972,194372.81
1855,356299.85
4347,788162.14
