House Size,Bedrooms,Age of House,House Price
2234,3,0,440030.38
2411,2,4,429794.17
1160,1,13,178160.75
2167,1,12,383238.74
2916,4,42,504871.54
1430,3,42,255453.18
1852,3,42,332408.24
1970,4,31,332386.96
2520,3,27,421286.83
1965,4,32,374891.34
3447,1,20,587535.63
1809,5,33,295035.11
2235,3,39,416046.88
2017,1,38,353137.4
1231,5,30,234992.5
3242,4,2,568003.4
1441,1,36,267286.16
1687,1,18,306577.01
3671,1,37,676922.05
4295,2,26,756153.77
3183,1,44,551264.06
4165,4,16,742311.44
3916,3,46,699655.52
2423,5,42,459611.7
3581,4,16,671404.5
1813,4,24,332183.54
2341,3,26,414861.85
2641,1,38,444187.94
4341,1,34,760186.03
3894,4,42,719147.49
2457,1,18,421313.19
3110,1,25,530204.53
1309,2,21,248411.54
3717,5,45,660974.77
2712,3,15,510081.07
2630,4,29,434464.45
3565,3,6,623115.9
3031,1,42,502821.67
789,2,19,108122.88
1652,1,17,274767.23
1206,4,29,219116.88
3439,1,24,591007.91
640,2,42,142259.32
1309,5,26,259228.79
2889,3,25,496513.73
3279,3,5,590290.91
2513,3,1,483793.47
3942,4,19,687020.82
4175,2,49,699938.5
1028,4,45,211930.98
4310,5,31,767869.28
2957,3,31,539239.69
3044,3,19,545607.06
880,1,8,180433.27
2987,2,0,515088.44
3402,5,16,623698.31
2823,3,15,505696.2
837,2,9,142372.18
2592,3,12,440570.44
4243,3,1,770624.98
3393,3,30,593790.95
1049,4,46,183484.39
4339,2,34,750106.42
4335,4,22,794710.38
1177,3,21,182075.24
3703,5,15,645577.23
2126,1,7,360162.27
2874,1,29,526203.58
2280,3,28,418051.74
3630,3,0,668446.34
4486,4,20,775816.78
3680,3,13,634009.28
4225,5,8,776006.27
4284,3,35,751445.49
860,1,26,166774.78
1513,1,31,261056.58
3387,5,35,619352.87
2860,1,49,489762.38
700,5,40,170555.35
880,2,31,181340.17
2582,1,43,409342.56
2964,2,23,477734.63
1170,4,49,243334.91
1185,3,38,246004.5
1017,4,32,183677.54
2759,4,45,457833.29
531,3,25,118250.7
2789,4,36,522346.76
2403,5,14,490861.89
2363,3,48,428835.95
3217,1,31,547055.67
2590,3,39,442837.39
3410,5,23,622729.03
3555,2,43,609164.71
4180,5,3,741098.64
3696,3,5,703295.11
2570,4,25,506603.37
2468,2,36,455880.97
1442,5,40,262722.99
2898,1,22,520960.39
1056,2,32,207512.53
4224,3,27,752130.91
3880,3,48,701393.31
978,3,32,202167.42
3643,1,20,646110.28
968,2,48,186098.13
3384,1,5,600095.83
850,3,49,125227.78
2452,2,7,443712.42
3131,3,14,551546.16
3415,3,41,574553.18
2174,4,36,432816.33
4186,3,48,762999.91
3597,4,37,667874.41
1333,3,31,255314.27
3184,4,17,605492.5
3422,4,0,625981.06
1834,2,6,341435.95
3452,2,14,587370.57
4093,4,2,746949.83
3768,2,25,659767.72
3550,3,38,598246.96
3037,1,48,516066.06
1582,3,24,293745.41
3680,3,43,680351.22
1956,4,49,374804.27
2628,3,42,466188.91
1757,2,23,322465.75
1752,5,16,344324.25
1130,3,48,204841.72
4345,5,12,764201.46
1091,4,20,218448.96
845,3,3,163528.03
4244,5,39,732873.69
2720,1,32,479824.44
2251,5,4,440895.29
3449,5,11,598195.85
2033,3,27,368356.31
1011,4,27,224984.03
3418,3,40,622244.47
1203,2,13,247826.74
2711,4,46,487248.26
4296,2,22,732619.09
4244,2,41,711406.02
1943,3,11,368802.1
3621,5,1,674755.6
2950,2,2,554446.62
2417,3,18,461689.59
1059,1,47,178585.43
2005,1,2,335165.88
3107,1,18,534607.87
4446,1,5,778164.62
519,5,46,117788.34
3371,5,33,600312.12
3885,5,38,702307.7
4304,1,35,727600.85
2195,1,32,367788.68
973,2,38,184439.06
1583,3,0,297070.15
3902,2,43,679022.09
4011,3,36,708934.08
3048,1,36,500971.42
990,4,19,195075.18
987,2,40,208545.54
2412,1,19,399198.41
2853,4,2,485876.91
629,5,45,103693.1
3244,1,11,567662.2
2678,3,5,489878.35
549,5,31,130577.78
882,4,11,213823.8
