Category,PaymentMode,TransactionType,Amount,CustomerSegment
Utilities,Credit Card,Debit,288.82,Premium
Entertainment,UPI,Debit,248.77,Regular
Entertainment,Cash,Debit,610.75,Regular
Shopping,Debit Card,Debit,1668.65,Premium
Dining,Credit Card,Debit,463.52,Budget
Entertainment,Cash,Debit,554.2,Budget
Dining,Cash,Credit,2961.58,Premium
Utilities,Cash,Debit,374.43,Budget
Groceries,Cash,Debit,2982.07,Premium
Travel,Cash,Debit,46.55,Budget
Entertainment,UPI,Credit,361.47,Budget
Entertainment,Credit Card,Debit,422.26,Premium
Healthcare,Net Banking,Credit,1703.78,Budget
Dining,Debit Card,Credit,421.46,Budget
Groceries,UPI,Debit,1245.85,Budget
Shopping,Net Banking,Debit,112.12,Budget
Dining,Cash,Debit,3660.08,Regular
Healthcare,Debit Card,Debit,2592.58,Premium
Shopping,Debit Card,Credit,789.61,Budget
Utilities,Net Banking,Debit,298.15,Regular
Travel,Credit Card,Credit,533.91,Regular
Travel,UPI,Debit,1098.13,Regular
Shopping,Net Banking,Debit,553.91,Regular
Entertainment,UPI,Debit,4767.23,Premium
Utilities,Debit Card,Debit,1407.06,Regular
Entertainment,Cash,Debit,1008.98,Premium
Utilities,Debit Card,Debit,2371.19,Regular
Entertainment,Net Banking,Debit,588.84,Budget
Groceries,UPI,Credit,2295.64,Regular
Healthcare,Credit Card,Debit,853.53,Regular
Groceries,UPI,Credit,1973.93,Regular
Healthcare,Credit Card,Debit,571.61,Budget
Groceries,Cash,Debit,2649.11,Regular
Shopping,Net Banking,Debit,192.16,Regular
Utilities,Debit Card,Debit,737.53,Premium
Travel,UPI,Debit,2123.9,Premium
Entertainment,Net Banking,Debit,731.26,Regular
Travel,Debit Card,Credit,556.9,Budget
Travel,Debit Card,Debit,2140.49,Regular
Travel,UPI,Debit,1640.91,Premium
Utilities,Debit Card,Debit,1020.77,Budget
Travel,Net Banking,Debit,598.46,Regular
Shopping,Credit Card,Debit,85.97,Budget
Travel,Cash,Debit,4113.97,Premium
Utilities,Debit Card,Debit,4226.94,Regular
Groceries,UPI,Debit,942.45,Budget
Utilities,Credit Card,Credit,1232.41,Regular
Groceries,Debit Card,Debit,1447.04,Regular
Entertainment,Net Banking,Credit,1993.47,Budget
Healthcare,Debit Card,Debit,2853.06,Premium
Groceries,Credit Card,Debit,4257.16,Premium
Travel,UPI,Credit,2291.17,Regular
Shopping,Credit Card,Debit,2806.75,Regular
Healthcare,Debit Card,Credit,2180.12,Premium
Entertainment,UPI,Debit,843.61,Regular
Entertainment,UPI,Debit,1194.0,Budget
Utilities,Net Banking,Credit,2669.94,Regular
Travel,Net Banking,Debit,3027.87,Regular
Healthcare,Cash,Debit,2161.98,Budget
Entertainment,Credit Card,Debit,2503.84,Regular
Entertainment,Debit Card,Debit,482.17,Budget
Entertainment,Credit Card,Credit,1569.33,Regular
Healthcare,Credit Card,Debit,879.15,Budget
Groceries,Debit Card,Debit,1344.71,Regular
Utilities,UPI,Credit,3587.26,Premium
Groceries,Cash,Debit,673.89,Budget
Entertainment,Net Banking,Credit,1124.49,Regular
Healthcare,Net Banking,Debit,7919.64,Premium
Groceries,Net Banking,Debit,2272.18,Premium
Utilities,Credit Card,Credit,2792.68,Regular
Healthcare,Cash,Debit,5230.07,Premium
Dining,Cash,Debit,1602.34,Regular
Groceries,Credit Card,Debit,2089.2,Premium
Travel,UPI,Credit,621.55,Regular
Healthcare,Cash,Credit,261.8,Regular
Utilities,UPI,Debit,2097.3,Regular
Travel,Cash,Debit,1800.32,Regular
Travel,Cash,Credit,4181.79,Premium
Dining,UPI,Debit,890.87,Regular
Entertainment,Credit Card,Debit,4698.39,Regular
Shopping,Debit Card,Debit,1918.99,Regular
Healthcare,Debit Card,Debit,2204.36,Premium
Groceries,UPI,Credit,236.13,Premium
Shopping,UPI,Credit,1760.56,Premium
Shopping,UPI,Credit,2401.98,Regular
Shopping,Credit Card,Debit,3540.39,Regular
Utilities,Debit Card,Debit,828.88,Budget
Travel,Net Banking,Debit,3934.96,Regular
Shopping,Credit Card,Debit,578.16,Regular
Entertainment,Debit Card,Debit,1840.73,Regular
