User ID,Gender,Age,EstimatedSalary,Purchased
15000000,Male,21,149734,0
15000001,Male,51,119950,1
15000002,Female,46,58256,0
15000003,Female,36,146197,1
15000004,Female,36,82406,0
15000005,Female,54,82600,1
15000006,Female,21,73549,0
15000007,Male,47,34426,1
15000008,Male,26,141141,0
15000009,Female,22,16881,0
15000010,Male,40,38527,0
15000011,Female,59,46003,1
15000012,Female,49,52705,0
15000013,Male,50,32796,0
15000014,Female,48,17424,1
15000015,Female,51,106484,1
15000016,Male,40,145857,1
15000017,Male,23,31447,0
15000018,Female,54,55032,1
15000019,Female,37,83355,1
15000020,Male,39,140213,0
15000021,Female,33,108726,0
15000022,Male,25,118436,0
15000023,Female,57,93451,1
15000024,Female,51,71300,0
15000025,Male,45,41969,0
15000026,Female,35,131683,0
15000027,Female,53,123557,1
15000028,Female,41,18388,0
15000029,Male,37,111580,0
15000030,Male,37,26392,0
15000031,Male,27,114763,0
15000032,Male,21,126504,1
15000033,Male,41,32692,0
15000034,Female,56,73568,1
15000035,Female,20,31706,0
15000036,Female,54,91583,1
15000037,Male,53,140221,1
15000038,Male,29,25917,0
15000039,Female,45,68673,0
15000040,Male,25,146372,0
15000041,Female,50,55628,0
15000042,Female,48,32849,1
15000043,Male,33,80959,1
15000044,Male,20,83630,0
15000045,Male,59,104487,1
15000046,Male,37,57354,1
15000047,Male,56,144010,1
15000048,Female,47,85338,1
15000049,Female,51,53670,1
15000050,Female,50,144639,1
15000051,Female,26,139850,0
15000052,Female,33,82387,0
15000053,Male,38,18356,0
15000054,Male,39,95586,0
15000055,Female,19,89952,0
15000056,Male,41,35008,0
15000057,Male,24,100587,0
15000058,Female,49,128507,1
15000059,Female,47,29296,0
15000060,Female,57,112649,1
15000061,Female,50,33945,0
15000062,Male,33,116092,1
15000063,Female,59,71580,1
15000064,Female,35,15878,0
15000065,Female,32,145442,0
15000066,Female,56,37406,0
15000067,Female,33,95466,0
15000068,Male,21,39498,0
15000069,Male,38,140959,1
15000070,Male,52,114674,1
15000071,Male,26,123589,0
15000072,Male,37,73331,0
15000073,Male,23,78096,0
15000074,Female,47,100631,1
15000075,Female,38,120943,1
15000076,Female,32,129343,0
15000077,Female,27,17407,0
15000078,Female,42,104581,1
15000079,Female,46,29734,0
15000080,Male,58,53871,1
15000081,Female,36,126973,1
15000082,Male,24,48819,1
15000083,Male,53,122571,1
15000084,Female,45,77506,0
15000085,Female,48,46406,1
15000086,Male,22,60123,0
15000087,Male,31,86654,0
15000088,Male,51,118295,1
15000089,Male,53,96812,1
15000090,Male,36,140986,1
15000091,Female,52,132145,1
15000092,Female,54,116703,1
15000093,Female,34,96420,1
15000094,Female,56,54130,0
15000095,Female,30,70697,0
15000096,Female,28,31050,0
15000097,Male,47,65515,0
15000098,Male,45,140074,1
15000099,Female,24,72494,0
15000100,Male,53,30353,1
15000101,Male,26,103011,0
15000102,Male,52,144953,1
15000103,Female,18,132112,0
15000104,Male,52,52000,1
15000105,Female,51,76276,1
15000106,Male,51,86687,0
15000107,Male,46,48458,0
15000108,Male,38,51273,0
15000109,Male,48,46949,1
15000110,Female,29,149269,0
15000111,Male,51,115712,1
15000112,Male,41,128516,0
15000113,Female,37,125237,0
15000114,Female,39,144485,0
15000115,Male,42,29212,1
15000116,Female,19,134021,0
15000117,Female,24,23985,0
15000118,Male,28,79182,0
15000119,Female,22,95249,0
15000120,Female,36,63311,0
15000121,Female,46,34733,0
15000122,Male,46,40960,1
15000123,Male,38,126330,0
15000124,Male,54,58028,1
15000125,Female,42,56895,1
15000126,Female,21,139654,1
15000127,Male,50,34422,1
15000128,Male,42,138561,1
15000129,Female,45,139331,1
15000130,Female,42,95806,1
15000131,Female,41,37346,1
15000132,Male,21,36041,0
15000133,Female,42,53437,0
15000134,Male,52,92951,1
15000135,Female,31,35737,0
15000136,Male,43,76514,1
15000137,Male,19,30591,0
15000138,Male,32,87938,0
15000139,Female,36,17855,0
15000140,Female,60,110720,1
15000141,Male,27,22478,0
15000142,Female,29,41301,0
15000143,Male,35,38576,1
15000144,Male,60,127185,1
15000145,Male,54,22206,1
15000146,Female,19,72950,0
15000147,Male,28,94805,0
15000148,Female,53,84659,1
15000149,Male,20,106897,0
15000150,Male,54,123419,1
15000151,Male,30,68140,0
15000152,Female,57,126810,1
15000153,Male,30,57929,0
15000154,Female,36,147898,1
15000155,Female,46,83111,1
15000156,Male,23,114362,0
15000157,Female,41,133126,0
15000158,Female,39,122008,1
15000159,Male,51,129903,1
15000160,Male,60,87429,1
15000161,Male,46,20869,1
15000162,Female,35,81566,1
15000163,Male,35,39502,1
15000164,Female,35,135031,0
15000165,Female,53,46960,1
15000166,Female,31,45789,0
15000167,Male,25,48667,1
15000168,Female,32,101747,1
15000169,Male,18,92116,0
15000170,Male,22,143094,1
15000171,Male,21,71195,0
15000172,Male,51,53107,1
15000173,Male,49,21649,0
15000174,Male,47,15955,1
15000175,Male,37,65438,0
15000176,Male,48,139986,1
15000177,Female,24,85707,0
15000178,Male,56,135629,1
15000179,Female,39,28725,0
15000180,Female,58,27598,1
15000181,Female,24,127517,0
15000182,Female,39,29410,0
15000183,Female,47,22014,0
15000184,Female,39,69552,0
15000185,Female,37,139854,1
15000186,Female,25,108067,0
15000187,Male,34,28380,0
15000188,Male,28,128013,0
15000189,Female,30,128883,0
15000190,Male,47,123094,1
15000191,Female,45,136859,1
15000192,Male,44,47383,1
15000193,Male,33,147243,1
15000194,Female,59,58294,1
15000195,Female,21,123274,0
15000196,Female,32,93214,1
15000197,Male,23,120230,1
15000198,Female,32,99756,0
15000199,Female,59,101735,1
15000200,Female,33,98198,0
15000201,Female,57,120165,1
15000202,Female,39,114771,0
15000203,Female,48,33164,0
15000204,Male,37,126518,1
15000205,Female,29,87369,1
15000206,Female,50,58616,0
15000207,Female,59,84420,1
15000208,Female,29,145543,1
15000209,Female,51,130773,0
15000210,Male,29,127550,1
15000211,Female,48,77478,1
15000212,Male,51,120859,0
15000213,Male,37,66987,0
15000214,Female,49,107633,1
15000215,Female,29,101341,0
15000216,Male,21,48723,0
15000217,Male,22,50972,0
15000218,Male,37,23253,0
15000219,Male,56,33868,1
15000220,Male,23,73538,1
15000221,Male,37,79513,0
15000222,Female,48,37291,1
15000223,Female,26,71280,0
15000224,Female,49,96564,0
15000225,Male,31,46397,1
15000226,Male,52,60662,1
15000227,Male,42,64614,1
15000228,Female,41,83182,0
15000229,Male,25,64463,0
15000230,Male,37,114488,0
15000231,Male,54,59212,1
15000232,Female,18,73576,0
15000233,Male,50,66228,0
15000234,Male,39,39693,0
15000235,Female,48,107576,1
15000236,Female,46,46785,0
15000237,Male,36,55078,0
15000238,Male,31,122022,1
15000239,Female,44,143096,1
15000240,Female,24,105564,1
15000241,Female,43,138707,1
15000242,Male,22,130316,0
15000243,Male,45,79923,1
15000244,Female,45,118989,1
15000245,Male,21,59329,0
15000246,Male,50,77167,1
15000247,Female,35,87284,0
15000248,Female,51,144667,1
15000249,Male,19,129556,0
15000250,Female,25,81049,0
15000251,Male,39,103099,1
15000252,Female,26,42318,0
15000253,Female,32,123593,0
15000254,Male,46,89660,1
15000255,Female,24,86918,0
15000256,Male,47,118449,1
15000257,Female,22,100444,0
15000258,Male,25,24783,0
15000259,Male,43,53901,0
15000260,Female,52,38857,0
15000261,Female,25,114211,0
15000262,Male,30,19744,0
15000263,Female,57,42324,1
15000264,Female,60,95655,1
15000265,Male,42,108798,0
15000266,Female,37,82946,0
15000267,Female,32,131197,0
15000268,Male,44,139057,1
15000269,Male,43,32834,1
15000270,Female,30,143589,0
15000271,Male,18,97941,1
15000272,Female,24,100890,0
15000273,Female,59,27838,1
15000274,Male,35,98953,0
15000275,Male,38,112972,0
15000276,Female,38,93407,1
15000277,Male,51,26406,1
15000278,Male,20,85636,0
15000279,Female,21,141352,0
15000280,Female,29,112661,0
15000281,Female,38,33550,0
15000282,Female,46,144592,0
15000283,Female,39,144449,1
15000284,Male,36,37868,0
15000285,Female,58,123120,1
15000286,Female,24,69907,0
15000287,Female,42,95147,1
15000288,Female,41,75100,1
15000289,Male,38,120655,0
15000290,Female,52,149550,1
15000291,Male,29,122341,0
15000292,Female,59,140736,1
15000293,Male,32,142714,1
15000294,Male,41,27164,0
15000295,Male,40,49207,0
15000296,Female,54,112451,1
15000297,Female,36,94660,1
15000298,Male,30,21769,0
15000299,Male,18,27831,0
15000300,Male,33,85274,0
15000301,Male,53,98182,1
15000302,Female,18,37642,0
15000303,Male,56,38124,1
15000304,Male,41,32461,0
15000305,Male,24,91268,0
15000306,Male,30,16060,0
15000307,Female,41,92278,1
15000308,Female,31,79250,0
15000309,Male,22,77908,0
15000310,Female,46,106702,1
15000311,Male,46,85555,0
15000312,Male,23,113246,0
15000313,Male,30,118130,0
15000314,Male,28,139216,0
